name,type,start_time,duration,ack,address,read,description,,,
I2C,start,0.000934,0.0000005,,,,,,,
I2C,address,0.000976,0.000233,false,0x08,false,,,,
I2C 8-bit Address Display,i2c-address,0.000976,0.000233,,,,Setup Write to [0x10] + NAK,,,
I2C,stop,0.0012485,0.0000005,,,,,,,
I2C,start,0.002066,0.0000005,,,,,,,
I2C,address,0.002105,0.0002335,false,0x09,false,,,,
I2C 8-bit Address Display,i2c-address,0.002105,0.0002335,,,,Setup Write to [0x12] + NAK,,,
I2C,stop,0.0023775,0.0000005,,,,,,,
I2C,start,0.003066,0.0000005,,,,,,,
I2C,address,0.003105,0.000233,false,0x0A,false,,,,
I2C 8-bit Address Display,i2c-address,0.003105,0.000233,,,,Setup Write to [0x14] + NAK,,,
I2C,stop,0.003376,0.0000005,,,,,,,
I2C,start,0.0040655,0.0000005,,,,,,,
I2C,address,0.004104,0.0002325,false,0x0B,false,,,,
I2C 8-bit Address Display,i2c-address,0.004104,0.0002325,,,,Setup Write to [0x16] + NAK,,,
I2C,stop,0.0043755,0.0000005,,,,,,,
I2C,start,0.005066,0.0000005,,,,,,,
I2C,address,0.005105,0.000233,false,0x0C,false,,,,
I2C 8-bit Address Display,i2c-address,0.005105,0.000233,,,,Setup Write to [0x18] + NAK,,,
I2C,stop,0.005376,0.0000005,,,,,,,
I2C,start,0.0060655,0.0000005,,,,,,,
I2C,address,0.006104,0.0002325,false,0x0D,false,,,,
I2C 8-bit Address Display,i2c-address,0.006104,0.0002325,,,,Setup Write to [0x1A] + NAK,,,
I2C,stop,0.0063755,0.0000005,,,,,,,
I2C,start,0.007066,0.0000005,,,,,,,
I2C,address,0.007105,0.000234,false,0x0E,false,,,,
I2C 8-bit Address Display,i2c-address,0.007105,0.000234,,,,Setup Write to [0x1C] + NAK,,,
I2C,stop,0.0073785,0.0000005,,,,,,,
I2C,start,0.008065,0.0000005,,,,,,,
I2C,address,0.008104,0.0002325,false,0x0F,false,,,,
I2C 8-bit Address Display,i2c-address,0.008104,0.0002325,,,,Setup Write to [0x1E] + NAK,,,
I2C,stop,0.0083755,0.0000005,,,,,,,
I2C,start,0.009066,0.0000005,,,,,,,
I2C,address,0.009105,0.000232,false,0x10,false,,,,
I2C 8-bit Address Display,i2c-address,0.009105,0.000232,,,,Setup Write to [0x20] + NAK,,,
I2C,stop,0.009375,0.0000005,,,,,,,
I2C,start,0.010065,0.0000005,,,,,,,
I2C,address,0.010104,0.0002315,false,0x11,false,,,,
I2C 8-bit Address Display,i2c-address,0.010104,0.0002315,,,,Setup Write to [0x22] + NAK,,,
I2C,stop,0.0103745,0.0000005,,,,,,,
I2C,start,0.011066,0.0000005,,,,,,,
I2C,address,0.011105,0.000233,false,0x12,false,,,,
I2C 8-bit Address Display,i2c-address,0.011105,0.000233,,,,Setup Write to [0x24] + NAK,,,
I2C,stop,0.011376,0.0000005,,,,,,,
I2C,start,0.012065,0.0000005,,,,,,,
I2C,address,0.012104,0.0002325,false,0x13,false,,,,
I2C 8-bit Address Display,i2c-address,0.012104,0.0002325,,,,Setup Write to [0x26] + NAK,,,
I2C,stop,0.0123755,0.0000005,,,,,,,
I2C,start,0.013066,0.0000005,,,,,,,
I2C,address,0.013105,0.000233,false,0x14,false,,,,
I2C 8-bit Address Display,i2c-address,0.013105,0.000233,,,,Setup Write to [0x28] + NAK,,,
I2C,stop,0.013376,0.0000005,,,,,,,
I2C,start,0.014065,0.0000005,,,,,,,
I2C,address,0.014104,0.0002325,false,0x15,false,,,,
I2C 8-bit Address Display,i2c-address,0.014104,0.0002325,,,,Setup Write to [0x2A] + NAK,,,
I2C,stop,0.0143755,0.0000005,,,,,,,
I2C,start,0.015066,0.0000005,,,,,,,
I2C,address,0.015105,0.000234,false,0x16,false,,,,
I2C 8-bit Address Display,i2c-address,0.015105,0.000234,,,,Setup Write to [0x2C] + NAK,,,
I2C,stop,0.015378,0.0000005,,,,,,,
I2C,start,0.016065,0.0000005,,,,,,,
I2C,address,0.016104,0.0002325,false,0x17,false,,,,
I2C 8-bit Address Display,i2c-address,0.016104,0.0002325,,,,Setup Write to [0x2E] + NAK,,,
I2C,stop,0.016375,0.0000005,,,,,,,
I2C,start,0.017066,0.0000005,,,,,,,
I2C,address,0.017105,0.0002315,false,0x18,false,,,,
I2C 8-bit Address Display,i2c-address,0.017105,0.0002315,,,,Setup Write to [0x30] + NAK,,,
I2C,stop,0.017376,0.0000005,,,,,,,
I2C,start,0.018065,0.0000005,,,,,,,
I2C,address,0.018104,0.0002325,false,0x19,false,,,,
I2C 8-bit Address Display,i2c-address,0.018104,0.0002325,,,,Setup Write to [0x32] + NAK,,,
I2C,stop,0.0183755,0.0000005,,,,,,,
I2C,start,0.019066,0.0000005,,,,,,,
I2C,address,0.019105,0.0002325,false,0x1A,false,,,,
I2C 8-bit Address Display,i2c-address,0.019105,0.0002325,,,,Setup Write to [0x34] + NAK,,,
I2C,stop,0.019377,0.0000005,,,,,,,
I2C,start,0.020065,0.0000005,,,,,,,
I2C,address,0.0201035,0.000233,false,0x1B,false,,,,
I2C 8-bit Address Display,i2c-address,0.0201035,0.000233,,,,Setup Write to [0x36] + NAK,,,
I2C,stop,0.020375,0.0000005,,,,,,,
I2C,start,0.021066,0.0000005,,,,,,,
I2C,address,0.021105,0.0002325,false,0x1C,false,,,,
I2C 8-bit Address Display,i2c-address,0.021105,0.0002325,,,,Setup Write to [0x38] + NAK,,,
I2C,stop,0.021377,0.0000005,,,,,,,
I2C,start,0.022065,0.0000005,,,,,,,
